Filename,Species,Call_clarity,Song_Call_Alarm,BirdNET_correct,If_BirdNET_incorrect_true_species,Confidence,Reason_for_misidentifcation,Comments
bawwar_01,Black-and-white Warbler,Very Low,Song,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified. 
bawwar_02,Black-and-white Warbler,Medium,Song,Yes,NA,Low,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_03,Black-and-white Warbler,Medium,song,Yes,NA,Medium,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_04,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_05,Black-and-white Warbler,Very Low,Song,??,??,??,Very low amplitude,Call can only NOT be heard if it is amplified. 
bawwar_06,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_07,Black-and-white Warbler,Medium,Song,Yes,NA,Low,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_08,Black-and-white Warbler,High,Song,Yes,NA,Medium,High amplitude,Call can only be heard if it is amplified. 
bawwar_09,Black-and-white Warbler,High,Song,Yes,NA,High,High amplitude,Call can only be heard if it is amplified. 
bawwar_10,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_11,Black-and-white Warbler,Very Low,Song,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified. 
bawwar_12,Black-and-white Warbler,High,Song,Yes,NA,Medium,High amplitude,Call can only be heard if it is amplified. 
bawwar_13,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_14,Black-and-white Warbler,Very Low,??,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified. 
bawwar_15,Black-and-white Warbler,Very Low,??,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified. 
bawwar_16,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_17,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_18,Black-and-white Warbler,Low,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_19,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_20,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_21,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_22,Black-and-white Warbler,High,Song,Yes,NA,High,Low amplitude,Call can only be heard if it is amplified. 
